"LOCID" "description" "feature"
"14633" "LOC105318737" "uncharacterized protein LOC105318737" "genome"
"14634" "LOC105318736" "P2X purinoceptor 4 isoform X1" "genome"
"14635" "LOC105318732" "ficolin-2 isoform X2" "genome"
"14636" "LOC117680296" "ceramide-1-phosphate transfer protein-like" "genome"
"14637" "LOC105318734" "ceramide-1-phosphate transfer protein" "genome"
"14638" "LOC105318731" "xyloside xylosyltransferase 1" "genome"
"14639" "LOC105318730" "uncharacterized protein LOC105318730 isoform X1" "genome"
"14640" "LOC105318729" "leucine-rich repeat-containing protein 15-like" "genome"
"14641" "LOC105318728" "uncharacterized protein LOC105318728" "genome"
"14642" "LOC105318724" "uncharacterized protein LOC105318724" "genome"
"14643" "LOC105318726" "caspase-2-like isoform X1" "genome"
"14644" "LOC105318727" "cell death protein 3 isoform X2" "genome"
"14645" "LOC105318723" "serine/threonine-protein kinase Chk2" "genome"
"14646" "LOC105318722" "ubiquitin recognition factor in ER-associated degradation protein 1" "genome"
"14647" "LOC105318721" "cell division control protein 45 homolog" "genome"
"14648" "LOC105318719" "sodium-dependent lysophosphatidylcholine symporter 1-A-like isoform X2" "genome"
"14649" "LOC105318718" "uncharacterized protein LOC105318718" "genome"
"14650" "LOC105318717" "cyclic nucleotide-gated cation channel alpha-3 isoform X2" "genome"
"14651" "LOC117692950" "cyclic nucleotide-gated olfactory channel-like" "genome"
"14652" "LOC105338128" "dynein regulatory complex subunit 2" "genome"
"14653" "LOC105338139" "LOW QUALITY PROTEIN: dynein regulatory complex subunit 2" "genome"
"14654" "LOC117692706" "dynein regulatory complex subunit 2-like" "genome"
"14655" "LOC117692705" "dynein regulatory complex subunit 2-like" "genome"
"14656" "LOC105338164" "steroid 17-alpha-hydroxylase/17,20 lyase isoform X2" "genome"
"14657" "LOC117692707" "uncharacterized protein LOC117692707" "genome"
"14658" "LOC117692708" "uncharacterized protein LOC117692708 isoform X1" "genome"
"14659" "LOC105325907" "BRCA1-associated protein" "genome"
"14660" "LOC105325906" "nuclear receptor coactivator 6 isoform X2" "genome"
"14661" "LOC105325905" "developmentally-regulated GTP-binding protein 1" "genome"
"14662" "LOC105345694" "uncharacterized protein LOC105345694 isoform X1" "genome"
"14663" "LOC105345695" "uncharacterized protein LOC105345695 isoform X2" "genome"
"14664" "LOC105345696" "retina and anterior neural fold homeobox protein 2-like isoform X2" "genome"
"14665" "LOC105345697" "uncharacterized protein LOC105345697 isoform X1" "genome"
"14666" "LOC105345698" "uncharacterized protein LOC105345698 isoform X4" "genome"
"14667" "LOC105345699" "chromodomain-helicase-DNA-binding protein Mi-2 homolog isoform X11" "genome"
"14668" "LOC117692952" "LOW QUALITY PROTEIN: chromodomain-helicase-DNA-binding protein 5-like" "genome"
"14669" "LOC117692954" "chromodomain-helicase-DNA-binding protein Mi-2 homolog" "genome"
"14670" "LOC105345701" "translocon-associated protein subunit gamma" "genome"
"14671" "LOC105345700" "sex peptide receptor-like" "genome"
"14672" "LOC105345702" "type-1 angiotensin II receptor-associated protein-like" "genome"
"14673" "LOC105345703" "uncharacterized protein LOC105345703" "genome"
"14674" "LOC105345704" "ceramide-1-phosphate transfer protein" "genome"
"14675" "LOC105345705" "transmembrane protein 272 isoform X2" "genome"
"14676" "LOC105345706" "transmembrane protein 272" "genome"
"14677" "LOC105320168" "transmembrane protein 272-like" "genome"
"14678" "LOC117692713" "transmembrane protein 272-like isoform X1" "genome"
"14679" "LOC105320167" "short-chain dehydrogenase/reductase 3" "genome"
"14680" "LOC105320165" "selenocysteine lyase isoform X1" "genome"
"14681" "LOC105320169" "phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform" "genome"
"14682" "LOC105320171" "uncharacterized protein LOC105320171" "genome"
"14683" "LOC117692955" "uncharacterized protein LOC117692955" "genome"
"14684" "LOC117692714" "1-deoxypentalenic acid 11-beta-hydroxylase-like" "genome"
"14685" "LOC105320170" "macrophage-expressed gene 1 protein" "genome"
"14686" "LOC105320232" "macrophage-expressed gene 1 protein" "genome"
"14687" "LOC105320172" "tetraspanin-4-like isoform X1" "genome"
"14688" "LOC105320173" "uncharacterized protein LOC105320173" "genome"
"14689" "LOC105320174" "uncharacterized protein LOC105320174 isoform X2" "genome"
"14690" "LOC105320233" "UPF0454 protein C12orf49 homolog" "genome"
"14691" "LOC105320176" "RING finger and transmembrane domain-containing protein 2-like" "genome"
"14692" "LOC105320234" "angiopoietin-4-like" "genome"
"14693" "LOC105320178" "F-box only protein 21" "genome"
"14694" "LOC105320177" "tektin-1" "genome"
"14695" "LOC105320179" "bifunctional peptidase and (3S)-lysyl hydroxylase Jmjd7 isoform X4" "genome"
"14696" "LOC105320181" "tumor necrosis factor receptor superfamily member 16 isoform X4" "genome"
"14697" "LOC105320186" "arylsulfatase B isoform X1" "genome"
"14698" "LOC105320184" "arylsulfatase B-like" "genome"
"14699" "LOC109617613" "uncharacterized protein LOC109617613" "genome"
"14700" "LOC105320187" "solute carrier family 2, facilitated glucose transporter member 1 isoform X1" "genome"
"14701" "LOC105320188" "LOW QUALITY PROTEIN: ATP-binding cassette sub-family F member 3" "genome"
"14702" "LOC105320190" "phosphoinositide 3-kinase regulatory subunit 4 isoform X1" "genome"
"14703" "LOC105320192" "uncharacterized protein LOC105320192 isoform X6" "genome"
"14704" "LOC117692566" "uncharacterized protein LOC117692566" "genome"
"14705" "LOC105320237" "centromere protein M" "genome"
"14706" "LOC105344189" "tricarboxylate transport protein, mitochondrial" "genome"
"14707" "LOC105344190" "serine-rich adhesin for platelets isoform X3" "genome"
"14708" "LOC105344191" "5-hydroxytryptamine receptor 1B" "genome"
"14709" "LOC105326586" "uncharacterized protein LOC105326586" "genome"
"14710" "LOC105326585" "integrin beta-like protein 1 isoform X1" "genome"
"14711" "LOC105326584" "beta-glucuronidase isoform X1" "genome"
"14712" "LOC105326583" "uncharacterized protein LOC105326583" "genome"
"14713" "LOC105326582" "uncharacterized protein LOC105326582" "genome"
"14714" "LOC117692569" "microfibril-associated glycoprotein 4-like isoform X1" "genome"
"14715" "LOC117692570" "fibrinogen-like protein A" "genome"
"14716" "LOC105346910" "angiopoietin-related protein 7" "genome"
"14717" "LOC117692963" "uncharacterized protein LOC117692963" "genome"
"14718" "LOC105346923" "fibrinogen-like protein A isoform X1" "genome"
"14719" "LOC117692571" "G-protein coupled receptor 15-like" "genome"
"14720" "LOC105346946" "uncharacterized protein LOC105346946 isoform X2" "genome"
"14721" "LOC105346951" "serum paraoxonase/arylesterase 1-like isoform X1" "genome"
"14722" "LOC105346978" "uncharacterized protein LOC105346978 isoform X2" "genome"
"14723" "LOC105346966" "caspase-1-like isoform X2" "genome"
"14724" "LOC105346972" "caspase-3-like isoform X1" "genome"
"14725" "LOC105346995" "paxillin isoform X3" "genome"
"14726" "LOC105347027" "transcription elongation factor SPT4" "genome"
"14727" "LOC105347034" "ATP-binding cassette sub-family C member 9 isoform X2" "genome"
"14728" "LOC105347043" "uncharacterized protein YMR196W" "genome"
"14729" "LOC117680525" "uncharacterized protein LOC117680525 isoform X1" "genome"
"14730" "LOC105347050" "myosin light chain kinase, smooth muscle" "genome"
"14731" "LOC105347108" "extensin" "genome"
"14732" "LOC105347116" "alpha carbonic anhydrase 8" "genome"
"14733" "LOC105347314" "probable ATP-dependent RNA helicase ddx56" "genome"
"14734" "LOC105347127" "flocculation protein FLO11" "genome"
"14735" "LOC105347139" "TNF receptor-associated factor 4 isoform X1" "genome"
"14736" "LOC105347183" "uncharacterized protein LOC105347183" "genome"
"14737" "LOC117692580" "uncharacterized protein LOC117692580" "genome"
"14738" "LOC105347193" "uncharacterized protein LOC105347193 isoform X6" "genome"
"14739" "LOC105323454" "uncharacterized protein LOC105323454" "genome"
"14740" "LOC117692578" "uncharacterized protein LOC117692578 isoform X2" "genome"
"14741" "LOC117692577" "uncharacterized protein LOC117692577 isoform X1" "genome"
"14742" "LOC117692574" "proline dehydrogenase 1, mitochondrial-like isoform X1" "genome"
"14743" "LOC117692576" "TNF receptor-associated factor 4-like isoform X1" "genome"
"14744" "LOC117692583" "uncharacterized protein LOC117692583" "genome"
"14745" "LOC117692579" "uncharacterized protein LOC117692579 isoform X1" "genome"
"14746" "LOC117692581" "slit homolog 1 protein-like isoform X1" "genome"
"14747" "LOC105323990" "uncharacterized protein LOC105323990" "genome"
"14748" "LOC105329359" "uncharacterized protein LOC105329359 isoform X1" "genome"
"14749" "LOC117692582" "uncharacterized protein LOC117692582" "genome"
"14750" "LOC117692575" "proline dehydrogenase 1, mitochondrial-like isoform X2" "genome"
"14751" "LOC117692982" "uncharacterized protein LOC117692982" "genome"
"14752" "LOC117692573" "uncharacterized protein LOC117692573" "genome"
"14753" "LOC117680592" "uncharacterized protein LOC117680592" "genome"
"14754" "LOC109619461" "uncharacterized protein LOC109619461 isoform X1" "genome"
"14755" "LOC105333760" "3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial" "genome"
"14756" "LOC105333759" "rabankyrin-5 isoform X1" "genome"
"14757" "LOC105333758" "phytanoyl-CoA hydroxylase interacting protein-like isoform X1" "genome"
"14758" "LOC105346549" "phytanoyl-CoA hydroxylase-interacting protein-like" "genome"
"14759" "LOC105338194" "uncharacterized protein LOC105338194" "genome"
"14760" "LOC105325001" "uncharacterized protein LOC105325001" "genome"
"14761" "LOC105324973" "argininosuccinate lyase-like isoform X1" "genome"
"14762" "LOC105324972" "E3 ubiquitin-protein ligase RNF34 isoform X1" "genome"
"14763" "LOC117680496" "E3 ubiquitin-protein ligase RNF34-like isoform X1" "genome"
"14764" "LOC105324971" "segment polarity protein dishevelled homolog DVL-3 isoform X11" "genome"
"14765" "LOC105324970" "E3 ubiquitin-protein ligase MIB2 isoform X1" "genome"
"14766" "LOC117692589" "uncharacterized protein LOC117692589" "genome"
"14767" "LOC117692590" "uncharacterized protein LOC117692590" "genome"
"14768" "LOC117692591" "uncharacterized protein LOC117692591" "genome"
"14769" "LOC105324968" "E3 ubiquitin-protein ligase RNF185-like" "genome"
"14770" "LOC105324966" "uncharacterized protein LOC105324966 isoform X1" "genome"
"14771" "LOC105324967" "uncharacterized protein LOC105324967" "genome"
"14772" "LOC117692592" "uncharacterized protein LOC117692592" "genome"
"14773" "LOC117692593" "uncharacterized protein LOC117692593" "genome"
"14774" "LOC105324965" "SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1-A" "genome"
"14775" "LOC105324964" "NFATC2-interacting protein" "genome"
"14776" "LOC105345602" "asialoglycoprotein receptor 2" "genome"
"14777" "LOC105345601" "bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]" "genome"
"14778" "LOC105345600" "methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial-like" "genome"
"14779" "LOC105345597" "cytochrome P450 2C42" "genome"
"14780" "LOC117692594" "uncharacterized protein LOC117692594" "genome"
"14781" "LOC117692595" "cytochrome P450 2U1-like" "genome"
"14782" "LOC105345598" "uncharacterized protein LOC105345598" "genome"
"14783" "LOC105317127" "uncharacterized protein LOC105317127" "genome"
"14784" "LOC105324295" "thioredoxin reductase 2, mitochondrial" "genome"
"14785" "LOC105324294" "serine-enriched protein" "genome"
"14786" "LOC105337439" "uncharacterized protein LOC105337439 isoform X3" "genome"
"14787" "LOC105337438" "uncharacterized protein LOC105337438" "genome"
"14788" "LOC105339127" "mitochondrial sodium/calcium exchanger protein isoform X2" "genome"
"14789" "LOC105339126" "mucin-5AC" "genome"
"14790" "LOC117692598" "cell wall protein DAN4-like" "genome"
"14791" "LOC117692986" "LOW QUALITY PROTEIN: serine-rich adhesin for platelets-like" "genome"
"14792" "LOC117692599" "serine-rich adhesin for platelets-like" "genome"
"14793" "LOC105339125" "uncharacterized protein LOC105339125" "genome"
"14794" "LOC105339124" "dihydroorotate dehydrogenase (quinone), mitochondrial" "genome"
"14795" "LOC105339123" "uncharacterized protein LOC105339123 isoform X1" "genome"
"14796" "LOC105339122" "CD82 antigen" "genome"
"14797" "LOC105335030" "purine nucleoside phosphorylase" "genome"
"14798" "LOC105321089" "purine nucleoside phosphorylase isoform X3" "genome"
"14799" "LOC105321090" "DNA repair-scaffolding protein isoform X2" "genome"
"14800" "LOC105321091" "bromodomain-containing protein 7" "genome"
"14801" "LOC105321126" "arylacetamide deacetylase" "genome"
"14802" "LOC105321092" "forkhead box C1-A" "genome"
"14803" "LOC105321094" "forkhead box protein C1" "genome"
"14804" "LOC105321095" "GDP-mannose 4,6 dehydratase isoform X2" "genome"
"14805" "LOC105321096" "uncharacterized protein LOC105321096" "genome"
"14806" "LOC105321097" "probable aminopeptidase NPEPL1" "genome"
"14807" "LOC105321098" "gigaxonin" "genome"
"14808" "LOC105321127" "transcription factor AP-2-alpha-like" "genome"
"14809" "LOC105321099" "MTOR-associated protein MEAK7" "genome"
"14810" "LOC105321128" "E3 ubiquitin-protein ligase Mdm2" "genome"
"14811" "LOC117692600" "ubiquitin carboxyl-terminal hydrolase CYLD-like isoform X2" "genome"
"14812" "LOC105325202" "uncharacterized protein K02A2.6-like" "genome"
"14813" "LOC105321100" "ubiquitin carboxyl-terminal hydrolase CYLD isoform X1" "genome"
"14814" "LOC105321101" "repressor of RNA polymerase III transcription MAF1 homolog isoform X3" "genome"
"14815" "LOC117680498" "uncharacterized protein LOC117680498" "genome"
"14816" "LOC117692602" "P2X purinoceptor 7-like" "genome"
"14817" "LOC105321103" "ranBP-type and C3HC4-type zinc finger-containing protein 1 isoform X1" "genome"
"14818" "LOC105321104" "LOW QUALITY PROTEIN: ras-like GTP-binding protein Rho1" "genome"
"14819" "LOC117692603" "ras-like GTP-binding protein rhoA" "genome"
"14820" "LOC117692604" "ras-like GTP-binding protein rhoA" "genome"
"14821" "LOC105321129" "src kinase-associated phosphoprotein 2" "genome"
"14822" "LOC105321105" "ras-like GTP-binding protein Rho1" "genome"
"14823" "LOC105321107" "solute carrier family 66 member 2-like isoform X2" "genome"
"14824" "LOC105321108" "LOW QUALITY PROTEIN: E3 ubiquitin-protein ligase MARCHF6-like" "genome"
"14825" "LOC105321110" "WD repeat-containing protein 88 isoform X1" "genome"
"14826" "LOC105321111" "uncharacterized protein LOC105321111" "genome"
"14827" "LOC105321112" "TOX high mobility group box family member 4-B isoform X1" "genome"
"14828" "LOC105321113" "uncharacterized protein LOC105321113" "genome"
"14829" "LOC105321114" "transmembrane protein 208" "genome"
"14830" "LOC105321115" "centrosomal protein of 72 kDa" "genome"
"14831" "LOC105321116" "tetratricopeptide repeat protein 5" "genome"
"14832" "LOC105321117" "uncharacterized protein C1orf109 homolog" "genome"
"14833" "LOC105321119" "uncharacterized protein LOC105321119 isoform X4" "genome"
"14834" "LOC105321120" "probable phospholipid-transporting ATPase IIB" "genome"
"14835" "LOC105321121" "calcium-binding protein P" "genome"
"14836" "LOC105321130" "platelet glycoprotein Ib alpha chain-like" "genome"
"14837" "LOC105321123" "uncharacterized protein LOC105321123 isoform X2" "genome"
"14838" "LOC105321122" "fatty acid-binding protein homolog 5" "genome"
"14839" "LOC117692605" "uncharacterized protein LOC117692605" "genome"
"14840" "LOC117693013" "uncharacterized protein LOC117693013" "genome"
"14841" "LOC117680650" "uncharacterized protein LOC117680650" "genome"
"14842" "LOC117692606" "uncharacterized protein LOC117692606" "genome"
